Date,Price,Signal,Position,Capital,Return
2024-07-09,119.150002,0,0.3,52765.59047044551,-0.4723440952955449
2024-07-10,118.93,1,0.3,52736.36209804143,-0.4726363790195857
2024-07-11,117.639999,-1,0.0,52459.68010410357,-0.47540319895896427
2024-07-12,118.129997,-1,0.0,52407.22042399947,-0.4759277957600053
2024-07-13,117.610001,-1,0.0,52354.81320357547,-0.4764518679642453
2024-07-16,117.550003,-1,0.0,52302.458390371896,-0.476975416096281
2024-07-17,116.279999,-1,0.0,52250.15593198152,-0.4774984406801848
2024-07-18,116.309998,0,0.0,52250.15593198152,-0.4774984406801848
2024-07-19,115.809998,-1,0.0,52197.90577604954,-0.4780209422395046
2024-07-20,116.559998,-1,0.0,52145.707870273494,-0.47854292129726506
2024-07-23,116.0,0,0.0,52145.707870273494,-0.47854292129726506
2024-07-24,116.040001,0,0.0,52145.707870273494,-0.47854292129726506
2024-07-25,116.68,0,0.0,52145.707870273494,-0.47854292129726506
2024-07-26,115.769997,1,0.3,52093.56216240322,-0.47906437837596777
2024-07-27,115.830002,0,0.3,52101.66238079803,-0.4789833761920197
2024-07-30,115.650002,0,0.3,52077.37256192569,-0.4792262743807431
2024-07-31,115.989998,0,0.3,52123.3027773741,-0.478766972226259
2024-08-01,115.139999,-1,0.0,51904.74621875134,-0.48095253781248665
2024-08-02,114.519997,-1,0.0,51852.841472532586,-0.48147158527467415
2024-08-03,114.919998,-1,0.0,51800.988631060056,-0.4819901136893994
2024-08-06,114.330002,-1,0.0,51749.187642428995,-0.48250812357571005
2024-08-07,114.589996,0,0.0,51749.187642428995,-0.48250812357571005
